node,classification,pagerank,x_position,y_position,size
IDRT,Crypto,0.0009273970751304577,0.0,21.0,10.0
SRM,Crypto,0.0010682681277957966,1.0,21.0,11.41690058155188
DOT,Crypto,0.0027694345895125103,2.0,21.0,14.86282597949199
TOMO,Crypto,0.0012130837615577476,3.0,21.0,11.821854105329368
LTO,Crypto,0.0009273970751304577,4.0,21.0,10.0
ACH,Crypto,0.0009212877139833896,5.0,21.0,10.0
ONE,Crypto,0.0017805998539489904,6.0,21.0,13.142394477135502
RPL,Crypto,0.00077396399884204,7.0,21.0,1.0
COTI,Crypto,0.001074720790271807,8.0,21.0,11.43573717964948
SAND,Crypto,0.0017838366499443618,9.0,21.0,13.14901204602224
DF,Crypto,0.0007698820505137231,10.0,21.0,1.0
SFP,Crypto,0.00077396399884204,11.0,21.0,1.0
GAL,Crypto,0.0015007776464870813,12.0,21.0,12.535311949703697
ALGO,Crypto,0.00206250548635792,13.0,21.0,13.689747238558267
VIDT,Crypto,0.00077396399884204,14.0,21.0,1.0
