timestamp,crypto_currency,fiat_currency,volumeUSD
2023-04-30,OTHERS,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,160135478.8648589
2023-04-30,USDT,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,500940804.3905413
2023-05-31,BTC,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,341197684.6528859
2023-05-31,OTHERS,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,133595536.56189749
2023-05-31,USDT,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,367499514.9113687
2023-06-30,BTC,AUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,94286421.29541907
2023-06-30,OTHERS,AUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,18499017.26819613
2023-06-30,USDT,AUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,31031309.593014263
2023-07-31,BTC,GBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,69247489.0466361
2023-07-31,OTHERS,GBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,15638357.800373731
